ID Age Tenure WellBeing JobSat JobPerf IQ
1 40 10 7.92291204002686 8.33496131864376 5.62617100658827 105.926633447176
2 53 14 6.20899834064767 4.99116029962897 NA 92.6924188812263
3 46 10 NA 7.3873850191012 7.29748237435706 106.760397775099
4 37 8 6.50910985819064 NA 5.01792669692077 94.2727751806378
5 44 9 NA 5.05032076942734 NA 107.432103910716
6 39 10 7.11273137223907 NA 6.98746111127548 117.748692584457
7 33 7 NA 5.14430434582755 6.89523886400275 103.193836267805
8 43 9 6.57011607172899 NA 6.87108569825068 105.963312792592
9 35 9 7.36932317377068 7.1623040526174 6.61771024297923 108.453948118491
10 37 10 4.84532917058095 6.40977967204526 6.23933123843744 96.7791617980693
11 35 8 NA 7.54437383916229 5.0695031194482 100.134432843421
12 45 9 7.22372892638668 6.27744218055159 5.98146764468402 111.99313618429
13 38 11 5.83261887030676 NA 5.11186064267531 101.961779681733
14 38 9 6.40463370084763 NA 6.27807992324233 96.9794772218447
15 35 4 NA 5.12949906429276 6.23419707897119 88.7040234634187
16 29 1 5.20438696187921 NA 5.53857443970628 103.7122608223
17 37 8 5.64880055724643 NA 4.90744895744137 89.5189766359981
18 31 7 5.91271981084719 NA 6.04009134368971 96.2119319359772
19 30 4 5.74524320312776 NA 5.98063976853155 96.9872945148963
20 44 15 6.68892721319571 NA 6.49634182592854 101.506891175406
21 40 12 7.33020889665931 7.20082812593319 7.00983408559114 102.043092724402
22 33 10 7.34125230438076 NA 7.49698619754054 109.583159503061
23 42 13 NA 7.26593108614907 5.92613743199036 112.983206094708
24 33 9 6.0853122221306 NA 6.47804612270556 102.145355363144
25 40 14 NA 6.97214176878333 5.96020140079781 107.766419220716
26 44 9 NA 4.80663030012511 NA 93.1097321254201
27 43 8 7.27911990415305 NA 8.01343918824568 104.2788260784
28 35 9 5.8468630569987 NA 7.33526313118637 96.4691986991093
29 39 14 7.86330331466161 4.51798571320251 8.7743446349632 99.958609317895
30 31 4 5.99724357505329 NA 5.40849346294999 105.385607124306
31 36 7 8.24215717916377 NA 5.56040647951886 90.8725416811649
32 31 6 6.49297465896234 NA 3.98314744560048 102.628925607307
33 29 6 5.31246037245728 NA 5.17223734478466 92.7154749548063
34 47 10 NA 6.89805986871943 5.27231008396484 98.058748465497
35 39 8 7.12832270283252 6.09210027148947 7.13082822039723 110.932562267641
36 31 8 5.97272003651597 NA 7.09173983358778 90.5996731000487
37 46 12 6.25035775010474 8.32952986494638 6.22505325381644 94.2784513463266
38 40 10 NA 6.03986295475625 6.47129929275252 101.734975884203
39 34 8 NA 4.59439542028122 NA 94.0817068563774
40 32 4 6.45306947920471 NA 3.7115826588124 79.2014545646962
41 47 11 5.90605816082098 6.42359891999513 4.83997381757945 110.074364888947
42 34 9 6.58318013814278 5.87046085321344 5.91836849506944 88.6048800540157
43 41 11 NA 5.09781120484695 6.34038176084869 91.2350891081151
44 30 4 3.90881390776485 NA 4.14460039022379 103.863587575499
45 45 10 5.83022490469739 5.08649705396965 3.77455069636926 95.1625745510682
46 33 11 5.74631566996686 NA 5.08910617581569 100.971698982408
47 52 16 7.36996246315539 NA 4.92006328469142 93.0302135646343
48 41 7 7.07405146793462 5.1031292390544 6.46609444799833 112.567856115988
49 40 7 NA 3.71408710069954 7.58891094522551 91.6288688271306
50 43 12 NA 3.84897238831036 NA 112.223925436614
51 42 12 7.41868957271799 NA 6.20846535777673 105.903173029656
52 37 13 4.97696449887007 NA 6.42385493777692 117.069082541391
53 34 5 NA 6.06740480964072 6.73639441467822 102.005180666456
54 36 10 8.34140212996863 NA 8.46846870682202 111.961795073934
55 35 11 7.28025568509474 NA 6.18994125467725 103.254774309928
56 40 13 7.03522839932702 NA 5.62267620046623 102.571019323776
57 46 12 7.96435525710694 6.50020542973652 8.25312289572321 102.976197508629
58 29 4 5.70398364588618 4.53679658472538 NA 110.1077441948
59 39 11 6.76779467589222 NA 7.36004946986213 112.425016014604
60 45 13 NA 4.98021360114217 NA 96.4409322615247
61 45 19 NA 5.63086290471256 7.22536802478135 107.952792439843
62 49 17 7.3402850755956 7.07241733698174 7.32056420226581 101.628050202038
63 41 8 5.16965765575878 NA 3.02998879854567 94.5899989348836
64 29 11 NA 5.61175900930539 6.83846410014667 103.933802327141
65 26 8 4.81741191050969 NA 5.89329357072711 106.973191804485
66 30 4 NA 5.04461960610934 NA 97.4795537909959
67 43 16 7.46563167055137 7.19099958683364 4.87794472952373 84.2193241606001
68 47 12 8.74218198354356 NA 6.61461743223481 97.207000187831
69 31 7 7.00116592063569 5.7153111458756 6.46426520845853 105.442254077876
70 33 9 NA 8.1027325228788 5.59513522149064 102.09496065299
71 42 12 7.93074177438393 NA 7.74430498783477 109.719915695954
72 46 15 NA 6.54671614943072 5.66186944115907 109.129192374181
73 32 10 NA 6.50706487405114 5.84773284033872 99.3891926815268
74 40 10 5.79010247578844 5.68293541949242 4.22415816108696 96.2622752920724
75 40 11 5.17741021700203 NA 4.59099759790115 98.0731553989463
76 41 15 7.00632064556703 6.12018605624326 4.28093208302744 93.1202521796804
77 46 11 6.47175559238531 6.94402713165618 4.33153843809851 101.2393369989
78 41 9 NA 6.46174938138574 6.13270804192871 91.7148749327753
79 41 6 6.89096502703615 6.42885580123402 4.68602336058393 94.7532697955612
80 30 10 7.54289753478952 NA 9.58161055063829 111.225434065331
81 43 14 NA 5.78943976666778 6.33388772490434 102.932833001949
82 40 7 5.65397772751749 4.89769856049679 NA 98.2198054536711
83 29 6 5.31179103953764 NA 6.16224001231603 97.5274511342868
84 30 6 6.90454615768977 NA 7.25580783630721 97.9957268750295
85 37 10 NA 4.14038399467245 NA 92.5060388711281
86 40 9 7.80670974450186 NA 6.29072722094133 100.94879032881
87 33 8 5.94324604677968 NA 5.88792796223424 101.472993765259
88 45 9 6.0831867819652 NA 4.63346124254167 97.9527134986129
89 39 5 4.54881745087914 4.88546892465092 NA 101.227477425477
90 27 9 NA 5.93158929795027 6.23162512900308 99.8242946444079
91 35 7 6.89903191570193 NA 6.06483665597625 97.6131484783255
92 41 10 6.70360455941409 7.23096222081222 7.82325158920139 124.264718307415
93 37 5 6.68733137845993 NA 7.0127393193543 106.666699922876
94 39 13 4.92839454323985 NA 3.28180774091743 95.4264982715249
95 46 15 5.73053714795969 7.26349908462726 5.38286013551988 90.3645307829138
